local_government,tax,fy_total,fy
ALLENDALE,INC,42939.18,2018
ALLENDALE,INC,49110.22,2019
ALLENDALE,INC,46719.76,2020
ALLENDALE,INC,61702.48,2021
ALLENDALE,INC,71132.48,2022
ALLENDALE,INC,71377.14,2023
ALLENDALE,INC,76306.76,2024
ALLENDALE,INC,81394.74,2025
ALLENVILLE,INC,12633.81,2012
ALLENVILLE,INC,13883.87,2013
ALLENVILLE,INC,14109.44,2014
ALLENVILLE,INC,15179.14,2015
ALLENVILLE,INC,15001.87,2016
ALLENVILLE,INC,14015.67,2017
ALLENVILLE,INC,13378.94,2018
ALLENVILLE,INC,15301.66,2019
ALLENVILLE,INC,14556.72,2020
ALLENVILLE,INC,19224.93,2021
ALLENVILLE,INC,21066.53,2022
ALLENVILLE,INC,20570.9,2023
ALLENVILLE,INC,21991.63,2024
ALLENVILLE,INC,23458.83,2025
ALLERTON,INC,24840.5,2012
ALLERTON,INC,27298.3,2013
ALLERTON,INC,27741.81,2014
ALLERTON,INC,29844.94,2015
ALLERTON,INC,29496.29,2016
ALLERTON,INC,27557.65,2017
ALLERTON,INC,26306.1,2018
ALLERTON,INC,30086.52,2019
ALLERTON,INC,28622.04,2020
ALLERTON,INC,37800.92,2021
ALLERTON,INC,41674.89,2022
ALLERTON,INC,40832.3,2023
ALLERTON,INC,43652.36,2024
ALLERTON,INC,46563.12,2025
ALMA,INC,27315.79,2012
ALMA,INC,30018.51,2013
ALMA,INC,30506.23,2014
ALMA,INC,32819.73,2015
ALMA,INC,32436.42,2016
ALMA,INC,30303.69,2017
ALMA,INC,28927.6,2018
ALMA,INC,33085.25,2019
ALMA,INC,31475.38,2020
ALMA,INC,41569.3,2021
ALMA,INC,48889.19,2022
ALMA,INC,49558.26,2023
ALMA,INC,52980.98,2024
ALMA,INC,56513.96,2025
ALORTON,INC,170896.7,2012
ALORTON,INC,187803.52,2013
ALORTON,INC,190853.36,2014
ALORTON,INC,205325.8,2015
ALORTON,INC,202928.22,2016
ALORTON,INC,189588.46,2017
ALORTON,INC,180977.23,2018
ALORTON,INC,206987.82,2019
ALORTON,INC,196913.26,2020
ALORTON,INC,260061.93,2021
ALORTON,INC,262486.63,2022
ALORTON,INC,166754.17,2023
ALPHA,INC,57278.8,2012
ALPHA,INC,62945.43,2013
ALPHA,INC,63967.62,2014
ALPHA,INC,68818.1,2015
ALPHA,INC,68014.13,2016
ALPHA,INC,63543.32,2017
ALPHA,INC,60657.35,2018
ALPHA,INC,69375.37,2019
ALPHA,INC,65999.13,2020
ALPHA,INC,87164.57,2021
ALPHA,INC,103354.93,2022
ALPHA,INC,105196.73,2023
ALPHA,INC,112462.07,2024
ALPHA,INC,119961.03,2025
ALSEY,INC,19377.33,2012
ALSEY,INC,21294.62,2013
ALSEY,INC,21640.57,2014
ALSEY,INC,23281.28,2015
ALSEY,INC,23008.91,2016
ALSEY,INC,21496.72,2017
ALSEY,INC,20520.57,2018
ALSEY,INC,23469.75,2019
ALSEY,INC,22327.73,2020
ALSEY,INC,29488.05,2021
ALSEY,INC,31549.4,2022
ALSEY,INC,30391.1,2023
ALSEY,INC,32490.06,2024
ALSEY,INC,34656.12,2025
ALSIP,INC,1645540.47,2012
ALSIP,INC,1808335.25,2013
ALSIP,INC,1837702.59,2014
ALSIP,INC,1977053.93,2015
ALSIP,INC,1953965.04,2016
ALSIP,INC,1825521.57,2017
ALSIP,INC,1742608.28,2018
ALSIP,INC,1993063.53,2019
ALSIP,INC,1896057.84,2020
ALSIP,INC,2504109.96,2021
ALSIP,INC,2935556.67,2022
ALSIP,INC,2970905.5,2023
ALSIP,INC,3176089.21,2024
ALSIP,INC,3387862.91,2025
ALTAMONT,INC,197956.19,2012
ALTAMONT,INC,217540.36,2013
ALTAMONT,INC,221073.34,2014
ALTAMONT,INC,237837.55,2015
ALTAMONT,INC,235060.2,2016
ALTAMONT,INC,219608.05,2017
ALTAMONT,INC,209633.65,2018
ALTAMONT,INC,239763.28,2019
ALTAMONT,INC,228093.55,2020
ALTAMONT,INC,301241.53,2021
ALTAMONT,INC,345230.66,2022
ALTAMONT,INC,345356.27,2023
ALTAMONT,INC,369208.09,2024
ALTAMONT,INC,393825.29,2025
ALTO PASS,INC,33376.95,2012
ALTO PASS,INC,36678.63,2013
ALTO PASS,INC,37274.1,2014
ALTO PASS,INC,40100.99,2015
ALTO PASS,INC,39632.9,2016
ALTO PASS,INC,37027.44,2017
ALTO PASS,INC,35345.65,2018
ALTO PASS,INC,40426.1,2019
ALTO PASS,INC,38458.64,2020
ALTO PASS,INC,50792.07,2021
ALTO PASS,INC,52613.07,2022
ALTO PASS,INC,49716,2023
ALTO PASS,INC,53149.59,2024
ALTO PASS,INC,56692.29,2025
ALTON,INC,2378637.36,2012
ALTON,INC,2613958.13,2013
ALTON,INC,2656408.81,2014
ALTON,INC,2857841.95,2015
ALTON,INC,2824467.21,2016
ALTON,INC,2638800.67,2017
ALTON,INC,2518948.65,2018
ALTON,INC,2880983.38,2019
ALTON,INC,2740761.22,2020
ALTON,INC,3619703.61,2021
ALTON,INC,4050827.99,2022
ALTON,INC,4001519.13,2023
ALTON,INC,4277881.51,2024
ALTON,INC,4563119.77,2025
ALTONA,INC,45327.34,2012
ALTONA,INC,49812.18,2013
ALTONA,INC,50621.4,2014
ALTONA,INC,54459.45,2015
ALTONA,INC,53823.77,2016
ALTONA,INC,50285.51,2017
ALTONA,INC,48001.38,2018
ALTONA,INC,54900.84,2019
ALTONA,INC,52228.89,2020
ALTONA,INC,68978.33,2021
ALTONA,INC,74501.59,2022
ALTONA,INC,72157.9,2023
ALTONA,INC,77141.43,2024
ALTONA,INC,82283.64,2025
ALVIN,INC,23047.55,2012
ALVIN,INC,25327.94,2013
ALVIN,INC,25739.43,2014
ALVIN,INC,27690.85,2015
ALVIN,INC,27367.66,2016
ALVIN,INC,25568.81,2017
ALVIN,INC,24407.56,2018
ALVIN,INC,27915.11,2019
ALVIN,INC,26556.43,2020
ALVIN,INC,35072.89,2021
ALVIN,INC,37632.82,2022
ALVIN,INC,36311.59,2023
ALVIN,INC,38819.4,2024
ALVIN,INC,41408.65,2025
AMBOY,INC,213407,2012
AMBOY,INC,234519.94,2013
AMBOY,INC,238328.75,2014
AMBOY,INC,256400.64,2015
AMBOY,INC,253405.91,2016
AMBOY,INC,236748.68,2017
AMBOY,INC,225995.72,2018
AMBOY,INC,258476.72,2019
AMBOY,INC,245896.21,2020
AMBOY,INC,324753.35,2021
AMBOY,INC,360810.35,2022
AMBOY,INC,355018.73,2023
AMBOY,INC,379537.88,2024
AMBOY,INC,404844.08,2025
ANCHOR,INC,12462.97,2012
ANCHOR,INC,13696.11,2013
ANCHOR,INC,13918.6,2014
ANCHOR,INC,14973.8,2015
ANCHOR,INC,14798.88,2016
ANCHOR,INC,13826.19,2017
ANCHOR,INC,13198.36,2018
ANCHOR,INC,15094.99,2019
ANCHOR,INC,14360.4,2020
ANCHOR,INC,18965.69,2021
ANCHOR,INC,24140.73,2022
ANCHOR,INC,25403.11,2023
ANCHOR,INC,27157.58,2024
ANCHOR,INC,28968.58,2025
ANDALUSIA,INC,100558,2012
ANDALUSIA,INC,110506.04,2013
ANDALUSIA,INC,112300.5,2014
ANDALUSIA,INC,120816.11,2015
ANDALUSIA,INC,119405.19,2016
ANDALUSIA,INC,111555.84,2017
ANDALUSIA,INC,106489.19,2018
ANDALUSIA,INC,121794.14,2019
ANDALUSIA,INC,115866.06,2020
ANDALUSIA,INC,153023.47,2021
ANDALUSIA,INC,181343.53,2022
ANDALUSIA,INC,184523.07,2023
ANDALUSIA,INC,197267.05,2024
ANDALUSIA,INC,210419.15,2025
ANDOVER,INC,49339.27,2012
ANDOVER,INC,54221.08,2013
ANDOVER,INC,55101.97,2014
ANDOVER,INC,59279.86,2015
ANDOVER,INC,58587.55,2016
ANDOVER,INC,54736.34,2017
ANDOVER,INC,52250.02,2018
ANDOVER,INC,59759.86,2019
ANDOVER,INC,56851.47,2020
ANDOVER,INC,75083.33,2021
ANDOVER,INC,86320.9,2022
ANDOVER,INC,86494.83,2023
ANDOVER,INC,92468.53,2024
ANDOVER,INC,98634,2025
ANNA,INC,379182.3,2012
ANNA,INC,416695.31,2013
ANNA,INC,423462.46,2014
ANNA,INC,455572.64,2015
ANNA,INC,450252.75,2016
ANNA,INC,420655.19,2017
ANNA,INC,401549.27,2018
ANNA,INC,459262.07,2019
ANNA,INC,436909.03,2020
ANNA,INC,577022.6,2021
ANNA,INC,667254.3,2022
ANNA,INC,670608.92,2023
ANNA,INC,716924.1,2024
ANNA,INC,764725.92,2025
ANNAWAN,INC,74948.65,2012
ANNAWAN,INC,82363.54,2013
ANNAWAN,INC,83701.23,2014
ANNAWAN,INC,90048.2,2015
ANNAWAN,INC,88996.83,2016
ANNAWAN,INC,83145.95,2017
ANNAWAN,INC,79369.87,2018
ANNAWAN,INC,90777.3,2019
ANNAWAN,INC,86358.75,2020
ANNAWAN,INC,114053.39,2021
ANNAWAN,INC,135317.17,2022
ANNAWAN,INC,137768.33,2023
ANNAWAN,INC,147283.2,2024
ANNAWAN,INC,157104.24,2025
ANTIOCH,INC,1231786.28,2012
ANTIOCH,INC,1353648.18,2013
ANTIOCH,INC,1375631.54,2014
ANTIOCH,INC,1479944.68,2015
ANTIOCH,INC,1462661.2,2016
ANTIOCH,INC,1366513.31,2017
ANTIOCH,INC,1304447.6,2018
ANTIOCH,INC,1491929.13,2019
ANTIOCH,INC,1419314.79,2020
ANTIOCH,INC,1874478.82,2021
ANTIOCH,INC,2233517.63,2022
ANTIOCH,INC,2278791.16,2023
ANTIOCH,INC,2436174.45,2024
ANTIOCH,INC,2598610.9,2025
APPLE RIVER,INC,31242.29,2012
APPLE RIVER,INC,34333.5,2013
APPLE RIVER,INC,34891.31,2014
APPLE RIVER,INC,37536.86,2015
APPLE RIVER,INC,37098.33,2016
APPLE RIVER,INC,34659.78,2017
APPLE RIVER,INC,33085.63,2018
APPLE RIVER,INC,37841.02,2019
APPLE RIVER,INC,35999.18,2020
APPLE RIVER,INC,47543.86,2021
APPLE RIVER,INC,54205.64,2022
APPLE RIVER,INC,54078.96,2023
APPLE RIVER,INC,57813.91,2024
APPLE RIVER,INC,61668.57,2025
ARCOLA,INC,248918.62,2012
ARCOLA,INC,273544.45,2013
ARCOLA,INC,277986.81,2014
ARCOLA,INC,299065.76,2015
ARCOLA,INC,295573.38,2016
ARCOLA,INC,276143.46,2017
ARCOLA,INC,263601.48,2018
ARCOLA,INC,301487.18,2019
ARCOLA,INC,286813.06,2020
ARCOLA,INC,378791.94,2021
ARCOLA,INC,448499.55,2022
ARCOLA,INC,456163.99,2023
ARCOLA,INC,487668.67,2024
ARCOLA,INC,520184.27,2025
ARENZVILLE,INC,34913.61,2012
ARENZVILLE,INC,38367.32,2013
ARENZVILLE,INC,38990.24,2014
ARENZVILLE,INC,41947.29,2015
ARENZVILLE,INC,41457.06,2016
ARENZVILLE,INC,38732.01,2017
ARENZVILLE,INC,36972.83,2018
ARENZVILLE,INC,42287.16,2019
ARENZVILLE,INC,40229.18,2020
ARENZVILLE,INC,53130.35,2021
ARENZVILLE,INC,58447.13,2022
ARENZVILLE,INC,57195.96,2023
ARENZVILLE,INC,61146.18,2024
ARENZVILLE,INC,65223.46,2025
ARGENTA,INC,80838.97,2012
ARGENTA,INC,88835.9,2013
ARGENTA,INC,90278.35,2014
ARGENTA,INC,97124.74,2015
ARGENTA,INC,95990.32,2016
ARGENTA,INC,89680.57,2017
ARGENTA,INC,85607.47,2018
ARGENTA,INC,97911.22,2019
ARGENTA,INC,93145.74,2020
ARGENTA,INC,123016.88,2021
ARGENTA,INC,141805.54,2022
ARGENTA,INC,142287.04,2023
ARGENTA,INC,152114,2024
ARGENTA,INC,162258.03,2025
ARLINGTON,INC,16474.9,2012
ARLINGTON,INC,18104.99,2013
ARLINGTON,INC,18399.09,2014
ARLINGTON,INC,19794.05,2015
ARLINGTON,INC,19563.19,2016
ARLINGTON,INC,18276.9,2017
ARLINGTON,INC,17447,2018
ARLINGTON,INC,19954.31,2019
ARLINGTON,INC,18982.98,2020
ARLINGTON,INC,25070.71,2021
ARLINGTON,INC,27151.33,2022
ARLINGTON,INC,26337.62,2023
ARLINGTON,INC,28156.62,2024
ARLINGTON,INC,30034.56,2025
ARLINGTON HEIGHTS,INC,6410839.03,2012
ARLINGTON HEIGHTS,INC,7045069.29,2013
ARLINGTON HEIGHTS,INC,7159481.25,2014
ARLINGTON HEIGHTS,INC,7702378.7,2015
ARLINGTON HEIGHTS,INC,7612427.1,2016
ARLINGTON HEIGHTS,INC,7112024.32,2017
ARLINGTON HEIGHTS,INC,6789003.29,2018
ARLINGTON HEIGHTS,INC,7764749.64,2019
ARLINGTON HEIGHTS,INC,7386826.75,2020
ARLINGTON HEIGHTS,INC,9755728.89,2021
ARLINGTON HEIGHTS,INC,11785749.7,2022
ARLINGTON HEIGHTS,INC,12105546.86,2023
ARLINGTON HEIGHTS,INC,12941608.81,2024
ARLINGTON HEIGHTS,INC,13804521.65,2025
ARMINGTON,INC,29279.58,2012
ARMINGTON,INC,32175.82,2013
ARMINGTON,INC,32698.22,2014
ARMINGTON,INC,35178.06,2015
ARMINGTON,INC,34767.1,2016
ARMINGTON,INC,32481.95,2017
ARMINGTON,INC,31006.45,2018
ARMINGTON,INC,35463.06,2019
ARMINGTON,INC,33737.28,2020
ARMINGTON,INC,44556.57,2021
ARMINGTON,INC,49242.87,2022
ARMINGTON,INC,48312.25,2023
ARMINGTON,INC,51648.91,2024
ARMINGTON,INC,55092.84,2025
AROMA PARK,INC,63424.32,2012
AROMA PARK,INC,69698.96,2013
AROMA PARK,INC,70830.9,2014
AROMA PARK,INC,76202,2015
AROMA PARK,INC,75312.07,2016
AROMA PARK,INC,70361.73,2017
AROMA PARK,INC,67166.02,2018
AROMA PARK,INC,76818.95,2019
AROMA PARK,INC,73079.91,2020
AROMA PARK,INC,96516.1,2021
AROMA PARK,INC,105898.33,2022
AROMA PARK,INC,103481.49,2023
AROMA PARK,INC,110628.37,2024
AROMA PARK,INC,118004.88,2025
ARROWSMITH,INC,25096.79,2012
ARROWSMITH,INC,27579.96,2013
ARROWSMITH,INC,28028.03,2014
ARROWSMITH,INC,30152.94,2015
ARROWSMITH,INC,29800.36,2016
ARROWSMITH,INC,27841.48,2017
ARROWSMITH,INC,26577.27,2018
ARROWSMITH,INC,30396.65,2019
ARROWSMITH,INC,28917.14,2020
ARROWSMITH,INC,38190.63,2021
ARROWSMITH,INC,43260.99,2022
ARROWSMITH,INC,43012.8,2023
ARROWSMITH,INC,45983.44,2024
ARROWSMITH,INC,49050.18,2025
ARTHUR,INC,195310.06,2012
ARTHUR,INC,214632.41,2013
ARTHUR,INC,218118.1,2014
ARTHUR,INC,234658.09,2015
ARTHUR,INC,231918.01,2016
ARTHUR,INC,216672.2,2017
ARTHUR,INC,206831.31,2018
ARTHUR,INC,236558.67,2019
ARTHUR,INC,225045.19,2020
ARTHUR,INC,297215.56,2021
ARTHUR,INC,345187.14,2022
ARTHUR,INC,347694.54,2023
ARTHUR,INC,371707.83,2024
ARTHUR,INC,396491.99,2025
ASHKUM,INC,64960.95,2012
ASHKUM,INC,71387.66,2013
ASHKUM,INC,72547.05,2014
ASHKUM,INC,78048.54,2015
ASHKUM,INC,77137.16,2016
ASHKUM,INC,72066.31,2017
ASHKUM,INC,68793.13,2018
ASHKUM,INC,78679.96,2019
ASHKUM,INC,74850.42,2020
ASHKUM,INC,98854.42,2021
ASHKUM,INC,115626.22,2022
ASHKUM,INC,116885.92,2023
ASHKUM,INC,124958.58,2024
ASHKUM,INC,133289.98,2025
ASHLAND,INC,113788.75,2012
ASHLAND,INC,125045.88,2013
ASHLAND,INC,127076.56,2014
ASHLAND,INC,136712.62,2015
ASHLAND,INC,135116.17,2016
ASHLAND,INC,126234.53,2017
ASHLAND,INC,120500.84,2018
ASHLAND,INC,137819.53,2019
ASHLAND,INC,131111.71,2020
ASHLAND,INC,173158.3,2021
ASHLAND,INC,192728.8,2022
ASHLAND,INC,189820.56,2023
ASHLAND,INC,202930.41,2024
ASHLAND,INC,216461.27,2025
ASHLEY,INC,45754.48,2012
ASHLEY,INC,50280.82,2013
ASHLEY,INC,51097.28,2014
ASHLEY,INC,54972.35,2015
ASHLEY,INC,54330.3,2016
ASHLEY,INC,50758.9,2017
ASHLEY,INC,48453.47,2018
ASHLEY,INC,55417.54,2019
ASHLEY,INC,52720.26,2020
ASHLEY,INC,69627.29,2021
ASHLEY,INC,74653.99,2022
ASHLEY,INC,72002.14,2023
ASHLEY,INC,76974.92,2024
ASHLEY,INC,82106.01,2025
ASHMORE,INC,67010.2,2012
ASHMORE,INC,73639.65,2013
ASHMORE,INC,74835.58,2014
ASHMORE,INC,80509.77,2015
ASHMORE,INC,79569.33,2016
ASHMORE,INC,74339.32,2017
ASHMORE,INC,70962.71,2018
ASHMORE,INC,81161.48,2019
ASHMORE,INC,77211.1,2020
ASHMORE,INC,101972.15,2021
ASHMORE,INC,105274.79,2022
ASHMORE,INC,99274.25,2023
ASHMORE,INC,106130.57,2024
ASHMORE,INC,113207.83,2025
ASHTON,INC,82972.5,2012
ASHTON,INC,91181.33,2013
ASHTON,INC,92662.28,2014
ASHTON,INC,99688.88,2015
ASHTON,INC,98524.91,2016
ASHTON,INC,92048.01,2017
ASHTON,INC,87867.01,2018
ASHTON,INC,100495.31,2019
ASHTON,INC,95603.94,2020
ASHTON,INC,126263.41,2021
ASHTON,INC,148611.59,2022
ASHTON,INC,150703.49,2023
ASHTON,INC,161111.73,2024
ASHTON,INC,171854.29,2025
ASSUMPTION,INC,99703.7,2012
ASSUMPTION,INC,109567.97,2013
ASSUMPTION,INC,111347.62,2014
ASSUMPTION,INC,119790.7,2015
ASSUMPTION,INC,118391.63,2016
ASSUMPTION,INC,110609.16,2017
ASSUMPTION,INC,105585.2,2018
ASSUMPTION,INC,120760.71,2019
ASSUMPTION,INC,114883.29,2020
ASSUMPTION,INC,151725.53,2021
ASSUMPTION,INC,177862.8,2022
ASSUMPTION,INC,180002.36,2023
ASSUMPTION,INC,192434.1,2024
ASSUMPTION,INC,205266.1,2025
ASTORIA,INC,97399.28,2012
ASTORIA,INC,107034.77,2013
ASTORIA,INC,108772.85,2014
ASTORIA,INC,117021.69,2015
ASTORIA,INC,115654.98,2016
ASTORIA,INC,108051.88,2017
ASTORIA,INC,103144.54,2018
ASTORIA,INC,117969.06,2019
ASTORIA,INC,112227.5,2020
ASTORIA,INC,148218.05,2021
ASTORIA,INC,153336.9,2022
ASTORIA,INC,144781.04,2023
ASTORIA,INC,154780.23,2024
ASTORIA,INC,165100.91,2025
ATHENS,INC,169701.77,2012
ATHENS,INC,186490.36,2013
ATHENS,INC,189518.85,2014
ATHENS,INC,203889.75,2015
ATHENS,INC,201508.71,2016
ATHENS,INC,188262.56,2017
ATHENS,INC,179711.72,2018
ATHENS,INC,205540.76,2019
ATHENS,INC,195536.65,2020
ATHENS,INC,258243.82,2021
ATHENS,INC,303871.62,2022
ATHENS,INC,308108.23,2023
ATHENS,INC,329387.51,2024
ATHENS,INC,351351.41,2025
ATKINSON,INC,82972.5,2012
ATKINSON,INC,91181.33,2013
ATKINSON,INC,92662.28,2014
ATKINSON,INC,99688.88,2015
ATKINSON,INC,98524.91,2016
ATKINSON,INC,92048.01,2017
ATKINSON,INC,87867.01,2018
ATKINSON,INC,100495.31,2019
ATKINSON,INC,95603.94,2020
ATKINSON,INC,126263.41,2021
ATKINSON,INC,148406.86,2022
ATKINSON,INC,150391.99,2023
ATKINSON,INC,160778.74,2024
ATKINSON,INC,171498.99,2025
ATLANTA,INC,144434.12,2012
ATLANTA,INC,158723.4,2013
ATLANTA,INC,161301.22,2014
ATLANTA,INC,173532.11,2015
ATLANTA,INC,171505.38,2016
ATLANTA,INC,160231.64,2017
ATLANTA,INC,152953.92,2018
ATLANTA,INC,174937.53,2019
ATLANTA,INC,166423.21,2020
ATLANTA,INC,219793.92,2021
ATLANTA,INC,257230.51,2022
ATLANTA,INC,260107.45,2023
ATLANTA,INC,278071.62,2024
ATLANTA,INC,296613.82,2025
ATWOOD,INC,104484.54,2012
